,playerID,name,position,firstage,avgfirst3PER,avgfirst3MP,firstyr,peakage,height,weight,college
52,mcgruro01,Rodney McGruder,SHOOTING GUARD,25,10.166666666666666,1271.6666666666667,2017,24,193.02,92.49318000000001,Kansas State University
53,murrade01,Dejounte Murray,POINT GUARD,20,12.35,1032.5,2017,26,195.79,77.05532,University of Washington
54,murraja01,Jamal Murray,SHOOTING GUARD,19,14.666666666666664,2258.6666666666665,2017,24,193.02,93.446772,University of Kentucky
55,ndourma01,Maurice Ndour,POWER FORWARD,24,11.3,331.0,2017,23,205.87,90.3592,Ohio University
56,niangge01,Georges Niang,POWER FORWARD,23,7.433333333333333,213.66666666666663,2017,28,203.1,104.16308,Iowa State University
57,nwabada01,David Nwaba,SHOOTING GUARD,24,12.3,1009.0,2017,24,193.02,94.400364,"California Polytechnic State University, San Luis Obispo"
58,ochefda01,Daniel Ochefu,CENTER,23,6.6,75.0,2017,24,210.91,111.06501999999999,Villanova University
59,onuakch01,Chinanu Onuaku,CENTER,20,4.550000000000002,37.0,2017,24,208.14,111.06501999999999,University of Louisville
60,papagge01,Georgios Papagiannis,CENTER,19,23.55,238.5,2017,24,215.95,108.43104,None
61,paytoga02,Gary Payton II,POINT GUARD,24,17.03333333333333,112.0,2017,25,190.5,86.18248,Oregon State
62,plumlma02,Marshall Plumlee,CENTER,24,10.9,111.0,2017,25,212.18,112.199,Duke University
63,poeltja01,Jakob Poeltl,CENTER,21,16.366666666666664,1141.0,2017,25,213.18,108.16308,University of Utah
64,poythal01,Alex Poythress,POWER FORWARD,23,11.066666666666668,188.66666666666663,2017,27,200.83,107.477448,University of Kentucky
65,princta02,Taurean Prince,SMALL FORWARD,22,11.5,1665.666666666667,2017,23,203.2,99.79024,Baylor
66,quartti01,Tim Quarterman,SHOOTING GUARD,22,6.55,46.5,2017,23,198.06,87.09124,Louisiana State University
67,randlch01,Chasson Randle,POINT GUARD,23,12.45,521.0,2017,25,187.98,83.45725999999998,Stanford University
68,richama01,Malachi Richardson,SHOOTING GUARD,21,6.216666666666666,208.33333333333331,2017,26,198.06,92.49318000000001,Syracuse University
69,sabondo01,Domantas Sabonis,POWER FORWARD,20,15.433333333333332,1760.0,2017,25,210.91,108.43104,Gonzaga University
70,saricda01,Dario Šarić,POWER FORWARD,22,13.266666666666666,2154.0,2017,23,,,
71,satorto01,Tomáš Satoranský,SHOOTING GUARD,25,12.666666666666664,1508.666666666667,2017,26,,,
72,seldewa01,Wayne Selden,SHOOTING GUARD,22,9.45,789.0,2017,24,195.79,104.16308,University of Kansas
73,siakapa01,Pascal Siakam,POWER FORWARD,22,14.9,1695.333333333333,2017,23,205.87,104.16308,New Mexico State University
74,stonedi01,Diamond Stone,CENTER,19,-1.2,24.0,2017,24,210.91,115.33298,University of Maryland
75,taylois01,Isaiah Taylor,POINT GUARD,22,5.6000000000000005,609.5,2017,24,190.25,77.05532,University of Texas at Austin
76,tobeymi01,Mike Tobey,CENTER,22,-0.1,25.0,2017,22,213.18,117.46696000000001,University of Virginia
77,ulisty01,Tyler Ulis,POINT GUARD,21,7.7,927.3333333333335,2017,24,177.9,68.01939999999999,University of Kentucky
78,uthofja01,Jarrod Uthoff,POWER FORWARD,23,13.9,115.0,2017,24,205.87,100.121916,University of Iowa
79,valende01,Denzel Valentine,SHOOTING GUARD,23,9.7,1535.5,2017,26,198.06,96.080752,Michigan State University
80,vanvlfr01,Fred VanVleet,POINT GUARD,22,13.366666666666665,1191.3333333333333,2017,26,182.94,88.22522000000002,Wichita State University
81,whiteis01,Isaiah Whitehead,POINT GUARD,21,9.55,911.5,2017,25,193.02,96.307548,Seton Hall University
82,whiteok01,Okaro White,POWER FORWARD,24,3.9666666666666655,185.66666666666663,2017,24,203.1,92.266384,Florida State University
83,willitr02,Troy Williams,SMALL FORWARD,22,9.233333333333333,392.0,2017,24,199.33,96.12716,South Carolina State University
84,wiltjky01,Kyle Wiltjer,POWER FORWARD,24,6.7,44.0,2017,28,208.14,108.43104,Gonzaga University
85,zimmest01,Stephen Zimmerman,CENTER,20,7.3,108.0,2017,24,213.18,108.43104,"University of Nevada, Las Vegas"
86,zipsepa01,Paul Zipser,SMALL FORWARD,22,6.050000000000002,833.5,2017,23,203.1,96.12716,None
87,zubaciv01,Ivica Zubac,CENTER,19,17.066666666666666,686.3333333333334,2017,26,215.95,114.43104,None
88,adebaba01,Bam Adebayo,CENTER,20,16.799999999999994,1640.5,2018,26,208.28,115.66596000000001,Kentucky
89,allenja01,Jarrett Allen,CENTER,19,18.0,1768.5,2018,26,210.82,106.140528,Texas
90,allenka01,Kadeem Allen,POINT GUARD,25,9.4,261.5,2018,25,190.5,90.7184,Arizona
91,anigbik01,Ike Anigbogu,CENTER,19,7.800000000000002,18.0,2018,25,208.28,118.841104,UCLA
92,anunoog01,OG Anunoby,SMALL FORWARD,20,9.9,1416.5,2018,28,203.2,106.59411999999999,Indiana
93,arcidry01,Ryan Arcidiacono,POINT GUARD,23,9.45,1132.5,2018,25,190.5,88.45044,Villanova
94,artisja01,Jamel Artis,SHOOTING GUARD,25,6.9,279.0,2018,26,200.66,96.615096,Pittsburgh
95,bacondw01,Dwayne Bacon,SHOOTING GUARD,22,8.75,736.0,2018,26,200.66,100.243832,Florida State
96,balllo01,Lonzo Ball,POINT GUARD,20,12.1,1601.5,2018,25,198.12,86.18248,UCLA
97,belljo01,Jordan Bell,CENTER,23,15.45,798.5,2018,24,205.74,101.604608,Oregon
98,birchkh01,Khem Birch,CENTER,25,17.799999999999994,610.5,2018,24,205.74,99.79024,UNLV
99,birdja01,Jabari Bird,SHOOTING GUARD,23,12.1,115.0,2018,26,198.12,89.811216,California
100,blakean01,Antonio Blakeney,SHOOTING GUARD,21,10.35,571.5,2018,28,193.04,89.357624,Louisiana State
101,bogdabo01,Bogdan Bogdanović,SHOOTING GUARD,25,13.8,2061.0,2018,23,,,
102,bouchch01,Chris Boucher,POWER FORWARD,25,-3.1500000000000004,82.0,2018,29,208.28,90.7184,Oregon
103,bradlto01,Tony Bradley,CENTER,20,14.55,32.5,2018,24,208.28,112.490816,North Carolina
104,brookdi01,Dillon Brooks,SMALL FORWARD,22,8.7,1340.0,2018,28,198.12,99.79024,Oregon
105,brownst02,Sterling Brown,SHOOTING GUARD,22,10.0,905.0,2018,24,198.12,104.32616,Southern Methodist
106,bryanth01,Thomas Bryant,CENTER,20,15.45,784.0,2018,26,208.28,112.490816,Indiana
107,carusal01,Alex Caruso,POINT GUARD,23,11.3,546.5,2018,25,195.58,84.368112,Texas A&M
108,cavanty01,Tyler Cavanaugh,POWER FORWARD,23,9.0,278.5,2018,26,205.74,107.95489599999999,George Washington
109,clavegi01,Gian Clavell,SHOOTING GUARD,24,7.4,64.0,2018,23,193.04,83.91452,Colorado State
110,clevean01,Antonius Cleveland,SHOOTING GUARD,23,4.3,123.0,2018,28,198.12,88.45044,S.E. Missouri
111,collijo01,John Collins,POWER FORWARD,20,20.05,1807.0,2018,21,208.28,106.59411999999999,Wake Forest
112,colliky01,Kyle Collinsworth,SMALL FORWARD,26,10.0,480.0,2018,26,198.12,95.25432,Brigham Young
113,colliza01,Zach Collins,CENTER,20,10.5,1200.5,2018,26,213.36,104.32616,Gonzaga
114,cookech01,Charles Cooke,SHOOTING GUARD,23,-5.1,38.0,2018,27,195.58,88.904032,University of Dayton
115,costema01,Matt Costello,CENTER,24,9.7,32.0,2018,25,208.28,108.86208,Michigan State
116,craigto01,Torrey Craig,SMALL FORWARD,27,10.1,1066.0,2018,26,198.12,97.52228000000001,South Carolina Upstate
117,dorsety01,Tyler Dorsey,SHOOTING GUARD,21,10.225,836.0,2018,24,195.58,83.007336,Oregon
118,dotsoda01,Damyean Dotson,SHOOTING GUARD,23,11.2,1239.0,2018,28,195.58,95.25432,Houston
119,doylemi01,Milton Doyle,SHOOTING GUARD,24,5.2,125.0,2018,23,193.04,81.64656,Loyola (IL)
120,doziepj01,PJ Dozier,POINT GUARD,21,5.5,27.0,2018,28,198.12,92.98635999999999,South Carolina
121,evansja01,Jawun Evans,POINT GUARD,21,-5.75,421.5,2018,26,182.88,86.18248,Oklahoma State
