playerID,name,position,firstage,avgfirst3PER,avgfirst3MP,firstyr,peakage,height,weight,college
lambje01,Jeremy Lamb,SMALL FORWARD,20,13.166666666666666,772.6666666666666,2013,26.0,195.79000000000002,82.32328,University of Connecticut
leoname01,Meyers Leonard,CENTER,20,12.1,802.6666666666666,2013,26.0,215.95,111.06502,University of Illinois at Urbana-Champaign
lillada01,Damian Lillard,POINT GUARD,22,18.566666666666666,3009.6666666666665,2013,27.0,190.25,88.22522000000001,Weber State University
machasc01,Scott Machado,POINT GUARD,22,14.1,20.0,2013,,185.20999999999998,92.49318,Iona College
marshke01,Kendall Marshall,POINT GUARD,21,10.933333333333332,894.3333333333334,2013,,193.01999999999998,89.22522000000001,University of North Carolina
melofa01,Fab Melo,CENTER,22,4.9,36.0,2013,,213.18,115.33297999999999,Syracuse University
middlkh01,Khris Middleton,SHOOTING GUARD,21,13.166666666666666,1771.0,2013,26.0,201.82999999999998,101.76114,Texas A&M University
milleda01,Darius Miller,SMALL FORWARD,22,3.4000000000000004,486.6666666666667,2013,,203.1,106.29706,University of Kentucky
millequ01,Quincy Miller,POWER FORWARD,20,7.283333333333334,311.3333333333333,2013,,205.87,95.12716,Baylor University
motiedo01,Donatas Motiejūnas,POWER FORWARD,22,12.433333333333332,1175.6666666666667,2013,24.0,,,
moultar01,Arnett Moultrie,POWER FORWARD,22,11.7,364.5,2013,,209.64,111.56502,Mississippi State University
murphke01,Kevin Murphy,SHOOTING GUARD,22,-4.5,52.0,2013,,197.06,83.45725999999999,Tennessee Technological University
nichoan01,Andrew Nicholson,POWER FORWARD,23,11.766666666666666,971.6666666666666,2013,,205.87,113.199,St. Bonaventure University
ohlbrti01,Tim Ohlbrecht,CENTER,24,-6.1,12.0,2013,,210.91,115.33297999999999,None
oquinky01,Kyle O'Quinn,CENTER,22,15.699999999999998,883.3333333333334,2013,26.0,208.14,110.93104,Norfolk State University
plumlmi01,Miles Plumlee,CENTER,24,12.483333333333334,1071.0,2013,27.0,210.91,113.83297999999999,Duke University
prigipa01,Pablo Prigioni,POINT GUARD,35,12.683333333333332,1247.6666666666667,2013,,190.25,83.45725999999999,None
riverau01,Austin Rivers,SHOOTING GUARD,20,9.283333333333333,1440.0,2013,25.0,193.01999999999998,90.3592,Duke University
roberbr01,Brian Roberts,POINT GUARD,27,13.233333333333334,1440.3333333333333,2013,,185.20999999999998,79.82328,University of Dayton
robinth01,Thomas Robinson,POWER FORWARD,21,13.516666666666666,909.0,2013,,208.14,107.250652,University of Kansas
rosste01,Terrence Ross,SHOOTING GUARD,21,11.199999999999998,1830.0,2013,27.0,199.56,90.72522000000001,University of Washington
sacrero01,Robert Sacre,CENTER,23,8.799999999999999,808.3333333333334,2013,,213.18,119.96696,Gonzaga University
scottmi01,Mike Scott,POWER FORWARD,24,15.566666666666668,993.6666666666666,2013,25.0,203.1,107.250652,University of Virginia
shengto01,Tornike Shengelia,SMALL FORWARD,21,7.325,123.5,2013,,205.87,103.43104,None
shvedal01,Alexey Shved,SHOOTING GUARD,24,12.6,1090.3333333333333,2013,,198.06,84.276872,None
simshe01,Henry Sims,CENTER,22,19.25,759.6666666666666,2013,,208.14,111.56502,Georgetown University
singlky01,Kyle Singler,SMALL FORWARD,24,9.799999999999999,2124.3333333333335,2013,25.0,203.1,103.66308000000001,Duke University
sullija01,Jared Sullinger,POWER FORWARD,20,15.933333333333332,1499.6666666666667,2013,,205.87,117.46696,Ohio State University
tayloty01,Tyshawn Taylor,POINT GUARD,22,5.800000000000001,245.5,2013,,190.25,83.45725999999999,University of Kansas
teaguma01,Marquis Teague,POINT GUARD,19,5.3,303.0,2013,,187.98000000000002,85.59124,University of Kentucky
teletmi01,Mirza Teletović,POWER FORWARD,27,12.433333333333332,929.0,2013,30.0,,,
valanjo01,Jonas Valančiūnas,CENTER,20,17.433333333333334,1953.3333333333333,2013,26.0,,,
varnaja01,Jarvis Varnado,POWER FORWARD,24,3.2500000000000004,198.5,2013,,205.87,104.16308000000001,Mississippi State University
waitedi01,Dion Waiters,SHOOTING GUARD,21,12.949999999999998,2012.0,2013,25.0,193.01999999999998,99.76114,Syracuse University
waynsma01,Maalik Wayns,POINT GUARD,21,14.975000000000001,105.5,2013,,186.70999999999998,89.22522000000001,Villanova University
wroteto01,Tony Wroten,SHOOTING GUARD,19,12.366666666666667,977.3333333333334,2013,,198.06,93.173568,University of Washington
zellelu01,Luke Zeller,CENTER,25,5.6,58.0,2013,,210.91,111.06502,University of Notre Dame
zellety01,Tyler Zeller,CENTER,23,15.1,1604.3333333333333,2013,25.0,213.18,113.699,University of North Carolina
adamsst01,Steven Adams,CENTER,20,13.6,1660.6666666666667,2014,24.0,213.18,115.33297999999999,University of Pittsburgh
antetgi01,Giannis Antetokounmpo,SMALL FORWARD,19,14.800000000000002,2420.3333333333335,2014,24.0,208.37,96.49318,None
anticpe01,Pero Antić,CENTER,31,10.6,981.0,2014,,,,
babbch01,Chris Babb,SHOOTING GUARD,23,3.7,132.0,2014,,195.79000000000002,102.0291,Iowa State University
bennean01,Anthony Bennett,POWER FORWARD,20,9.566666666666668,547.0,2014,,203.1,114.240164,"University of Nevada, Las Vegas"
