playerID,name,position,age,PER,usage%,gp,yr,draftyr
reedhu01,Hub Reed,CENTER,22,11.5,0.0,65,1959,1959
rodgegu01,Guy Rodgers,POINT GUARD,31,17.9,0.0,81,1967,1959
barnedi01,Dick Barnett,SHOOTING GUARD,29,18.4,0.0,75,1966,1960
chambwi01,Wilt Chamberlain,CENTER,26,31.8,0.0,80,1963,1960
ferrybo01,Bob Ferry,CENTER,24,17.0,0.0,80,1962,1960
greenjo01,Johnny Green,POWER FORWARD,37,19.4,0.0,75,1971,1960
hawkito01,Tom Hawkins,SMALL FORWARD,26,14.0,0.0,79,1963,1960
howelba01,Bailey Howell,SMALL FORWARD,26,21.6,0.0,79,1963,1960
larusru01,Rudy LaRusso,POWER FORWARD,30,17.5,0.0,79,1968,1960
attleal01,Al Attles,POINT GUARD,29,13.2,0.0,79,1966,1961
boozebo01,Bob Boozer,POWER FORWARD,31,19.9,0.0,79,1969,1961
imhofda01,Darrall Imhoff,CENTER,31,15.5,0.0,79,1970,1961
leege01,George Lee,SMALL FORWARD,24,14.6,0.0,74,1961,1961
ohldo01,Don Ohl,SHOOTING GUARD,30,15.3,0.0,58,1967,1961
roberos01,Oscar Robertson,POINT GUARD,25,27.6,0.0,79,1964,1961
sandeto01,Tom Sanders,POWER FORWARD,27,13.6,0.0,72,1966,1961
westje01,Jerry West,POINT GUARD,26,25.0,0.0,74,1965,1961
wilkele01,Lenny Wilkens,POINT GUARD,34,20.3,0.0,80,1972,1961
bellawa01,Walt Bellamy,CENTER,22,26.3,0.0,79,1962,1962
eganjo01,Johnny Egan,POINT GUARD,26,15.4,0.0,74,1965,1962
meschto01,Tom Meschery,SMALL FORWARD,25,14.8,0.0,80,1964,1962
neumapa01,Paul Neumann,POINT GUARD,28,14.8,0.0,66,1966,1962
scottra01,Ray Scott,POWER FORWARD,27,17.1,0.0,79,1966,1962
smithad01,Adrian Smith,SHOOTING GUARD,32,13.5,0.0,73,1969,1962
barnhjo01,John Barnhill,SHOOTING GUARD,24,11.7,0.0,77,1963,1963
beatyze01,Zelmo Beaty,CENTER,28,19.3,0.0,82,1968,1963
bridgbi01,Bill Bridges,POWER FORWARD,27,16.8,0.0,79,1967,1964
chapple01,Len Chappell,POWER FORWARD,27,18.55,0.0,67,1968,1963
debusda01,Dave DeBusschere,POWER FORWARD,24,17.4,0.0,79,1965,1963
dischte01,Terry Dischinger,SMALL FORWARD,22,20.8,0.0,57,1963,1963
ellisle01,Leroy Ellis,CENTER,30,15.6,0.0,74,1971,1963
havlijo01,John Havlicek,SMALL FORWARD,30,20.8,0.0,81,1971,1963
loughke01,Kevin Loughery,SHOOTING GUARD,29,15.9,0.0,55,1970,1963
nelsodo01,Don Nelson,POWER FORWARD,29,18.5,0.0,82,1970,1963
olsenbu01,Bud Olsen,POWER FORWARD,24,13.0,0.0,79,1965,1963
tormobu01,Gene Tormohlen,CENTER,28,15.4,0.0,71,1966,1964
walkech01,Chet Walker,SMALL FORWARD,31,21.8,0.0,78,1972,1963
johnsgu01,Gus Johnson,POWER FORWARD,32,18.9,0.0,66,1971,1964
kingji01,Jim King,POINT GUARD,26,14.6,0.0,54,1968,1964
